name,address,phone,website
Parkwood Logistic services LTD,"37 Parkwood Ave, Roundhay, Leeds LS11 5RH, UK",07759 313777,
CEVA Logistics,"4th floor, No1 TITHEBARN, Tithebarn St, Liverpool L2 2NZ, UK",0151 243 6920,https://www.cevalogistics.com/
Jump Up Logistics London,"6th floor First Central, 200 2 Lakeside Dr, London NW10 7FQ, UK",020 4509 9583,https://jumpuplogistics.com/
EXP Logistic Services,"2 Frederick St, Walsall WS2 9NJ, UK",0121 630 3504,https://explogisticservices.co.uk/
Jem Logistics Ltd,"Unit 1a Sudellside St, Darwen BB3 3DL, UK",0161 713 3109,http://www.jemlogistics.co.uk/
F C Logistics Ltd.,"Office 42, Epsilon House, West Rd, Ipswich IP3 9FJ, UK",01394 448198,https://fclogistics.co.uk/
Flying Logistics Sea Freight Limited,"First Floor Southwest, Astra House, Christy Way, Basildon SS15 6TQ, UK",020 3994 1706,http://www.flying-logistics.uk/
Logistica,"Riverside Prime, Unit 5 Carousel Way, Northampton NN3 9HG, UK",0845 644 0488,http://www.logistica-europe.co.uk/
Logistics North East,"The Old Coop Buildings, Chester-le-Street DH2 1AA, UK",0330 057 5868,https://logisticsnortheast.com/
LBC Logistics Limited,"Unit 19 Garamonde Dr, Wymbush, Milton Keynes MK8 8DF, UK",01908 382595,http://www.lbclogistics.co.uk/
Access Logistics UK Ltd,"54 Chase Side, London N14 5PA, UK",07402 979432,
Exotic Logistics Company,"23 Stanley St, Cheetham Hill, Manchester M8 8FZ, UK",07960 075336,https://exoticlogistics.co.uk/
